PRODUCTO,UNIDAD,PRECIO,CALIDAD,OFERTA,FECHA
REPOLLO BLANCO  PY,Gs/Caja 15 Kg,35000,C,N,01-11-2017
TOMATE LISO  PY,Gs/Caja 18 kg,100000,C,N,01-11-2017
TOMATE SANTA  BR,Gs/Caja 18 kg,0,-,-,01-11-2017
TOMATE SANTA  AR,Gs/Caja 20 kg,0,-,-,01-11-2017
TOMATE SANTA  PY,Gs/Caja 18 kg,110000,C,N,01-11-2017
PIMIENTO VERDE PY(Locote,Gs/Kilo,6000,C,N,01-11-2017
ZAPALLITO DE TRONCO,Gs/Caja 15 kg,30000,C,N,01-11-2017
ZAPALLO  PY,Gs/Bolsa 40 kg,70000,C,N,01-11-2017
BATATA  COLORADA PY,Gs/Bolsa 40 kg,45000,C,N,01-11-2017
CEBOLLA  AR,Gs/Bolsa 20 kg,55000,C,N,01-11-2017
CEBOLLA  PY,Gs/Bolsa 20 kg,45000,C,N,01-11-2017
MANDIOCA   PY,Gs/Bolsa 50 kg,75000,C,N,01-11-2017
REMOLACHA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
REMOLACHA  PY,Gs/Bolsa 20 kg,65000,C,N,01-11-2017
ZANAHORIA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  AR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  PY,Gs/Bolsa 20 kg,50000,C,N,01-11-2017
BANANA CARAPE  PY,Gs/Caja 22 kg,70000,C,N,01-11-2017
FRUTILLA  PY,Gs/Kilo,0,-,-,01-11-2017
LIMON JAPONES PY,Gs/100 Unid.,25000,C,N,01-11-2017
LIMON TAHITI PY,Gs/100 Unid.,0,-,-,01-11-2017
MELON COMUN PY,Gs/Caja,25000,C,N,01-11-2017
MELON JAPONES PY,Gs/Caja,35000,C,N,01-11-2017
NARANJA PY,Gs/100 Unid.,40000,C,N,01-11-2017
NARANJA AR,Gs/100 Unid.,60000,C,N,01-11-2017
POMELO PY,Gs/100 Unid.,0,-,-,01-11-2017
PIÑA  PY,Gs/Caja 12 yuntas,40000,C,N,01-11-2017
SANDIA PY,Gs/Unidad,20000,C,N,01-11-2017
REPOLLO BLANCO  PY,Gs/Caja 15 Kg,35000,C,N,01-11-2017
TOMATE LISO  PY,Gs/Caja 18 kg,100000,C,N,01-11-2017
TOMATE SANTA  BR,Gs/Caja 18 kg,0,-,-,01-11-2017
TOMATE SANTA  AR,Gs/Caja 20 kg,0,-,-,01-11-2017
TOMATE SANTA  PY,Gs/Caja 18 kg,110000,C,N,01-11-2017
PIMIENTO VERDE PY(Locote,Gs/Kilo,6000,C,N,01-11-2017
ZAPALLITO DE TRONCO,Gs/Caja 15 kg,30000,C,N,01-11-2017
ZAPALLO  PY,Gs/Bolsa 40 kg,70000,C,N,01-11-2017
BATATA  COLORADA PY,Gs/Bolsa 40 kg,45000,C,N,01-11-2017
CEBOLLA  AR,Gs/Bolsa 20 kg,55000,C,N,01-11-2017
CEBOLLA  PY,Gs/Bolsa 20 kg,45000,C,N,01-11-2017
MANDIOCA   PY,Gs/Bolsa 50 kg,75000,C,N,01-11-2017
REMOLACHA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
REMOLACHA  PY,Gs/Bolsa 20 kg,65000,C,N,01-11-2017
ZANAHORIA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  AR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  PY,Gs/Bolsa 20 kg,50000,C,N,01-11-2017
BANANA CARAPE  PY,Gs/Caja 22 kg,70000,C,N,01-11-2017
FRUTILLA  PY,Gs/Kilo,0,-,-,01-11-2017
LIMON JAPONES PY,Gs/100 Unid.,25000,C,N,01-11-2017
LIMON TAHITI PY,Gs/100 Unid.,0,-,-,01-11-2017
MELON COMUN PY,Gs/Caja,25000,C,N,01-11-2017
MELON JAPONES PY,Gs/Caja,35000,C,N,01-11-2017
NARANJA PY,Gs/100 Unid.,40000,C,N,01-11-2017
NARANJA AR,Gs/100 Unid.,60000,C,N,01-11-2017
POMELO PY,Gs/100 Unid.,0,-,-,01-11-2017
PIÑA  PY,Gs/Caja 12 yuntas,40000,C,N,01-11-2017
SANDIA PY,Gs/Unidad,20000,C,N,01-11-2017
REPOLLO BLANCO  PY,Gs/Caja 15 Kg,35000,C,N,01-11-2017
TOMATE LISO  PY,Gs/Caja 18 kg,100000,C,N,01-11-2017
TOMATE SANTA  BR,Gs/Caja 18 kg,0,-,-,01-11-2017
TOMATE SANTA  AR,Gs/Caja 20 kg,0,-,-,01-11-2017
TOMATE SANTA  PY,Gs/Caja 18 kg,110000,C,N,01-11-2017
PIMIENTO VERDE PY(Locote,Gs/Kilo,6000,C,N,01-11-2017
ZAPALLITO DE TRONCO,Gs/Caja 15 kg,30000,C,N,01-11-2017
ZAPALLO  PY,Gs/Bolsa 40 kg,70000,C,N,01-11-2017
BATATA  COLORADA PY,Gs/Bolsa 40 kg,45000,C,N,01-11-2017
CEBOLLA  AR,Gs/Bolsa 20 kg,55000,C,N,01-11-2017
CEBOLLA  PY,Gs/Bolsa 20 kg,45000,C,N,01-11-2017
MANDIOCA   PY,Gs/Bolsa 50 kg,75000,C,N,01-11-2017
REMOLACHA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
REMOLACHA  PY,Gs/Bolsa 20 kg,65000,C,N,01-11-2017
ZANAHORIA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  AR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  PY,Gs/Bolsa 20 kg,50000,C,N,01-11-2017
BANANA CARAPE  PY,Gs/Caja 22 kg,70000,C,N,01-11-2017
FRUTILLA  PY,Gs/Kilo,0,-,-,01-11-2017
LIMON JAPONES PY,Gs/100 Unid.,25000,C,N,01-11-2017
LIMON TAHITI PY,Gs/100 Unid.,0,-,-,01-11-2017
MELON COMUN PY,Gs/Caja,25000,C,N,01-11-2017
MELON JAPONES PY,Gs/Caja,35000,C,N,01-11-2017
NARANJA PY,Gs/100 Unid.,40000,C,N,01-11-2017
NARANJA AR,Gs/100 Unid.,60000,C,N,01-11-2017
POMELO PY,Gs/100 Unid.,0,-,-,01-11-2017
PIÑA  PY,Gs/Caja 12 yuntas,40000,C,N,01-11-2017
SANDIA PY,Gs/Unidad,20000,C,N,01-11-2017
REPOLLO BLANCO  PY,Gs/Caja 15 Kg,35000,C,N,01-11-2017
TOMATE LISO  PY,Gs/Caja 18 kg,100000,C,N,01-11-2017
TOMATE SANTA  BR,Gs/Caja 18 kg,0,-,-,01-11-2017
TOMATE SANTA  AR,Gs/Caja 20 kg,0,-,-,01-11-2017
TOMATE SANTA  PY,Gs/Caja 18 kg,110000,C,N,01-11-2017
PIMIENTO VERDE PY(Locote,Gs/Kilo,6000,C,N,01-11-2017
ZAPALLITO DE TRONCO,Gs/Caja 15 kg,30000,C,N,01-11-2017
ZAPALLO  PY,Gs/Bolsa 40 kg,70000,C,N,01-11-2017
BATATA  COLORADA PY,Gs/Bolsa 40 kg,45000,C,N,01-11-2017
CEBOLLA  AR,Gs/Bolsa 20 kg,55000,C,N,01-11-2017
CEBOLLA  PY,Gs/Bolsa 20 kg,45000,C,N,01-11-2017
MANDIOCA   PY,Gs/Bolsa 50 kg,75000,C,N,01-11-2017
REMOLACHA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
REMOLACHA  PY,Gs/Bolsa 20 kg,65000,C,N,01-11-2017
ZANAHORIA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  AR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  PY,Gs/Bolsa 20 kg,50000,C,N,01-11-2017
BANANA CARAPE  PY,Gs/Caja 22 kg,70000,C,N,01-11-2017
FRUTILLA  PY,Gs/Kilo,0,-,-,01-11-2017
LIMON JAPONES PY,Gs/100 Unid.,25000,C,N,01-11-2017
LIMON TAHITI PY,Gs/100 Unid.,0,-,-,01-11-2017
MELON COMUN PY,Gs/Caja,25000,C,N,01-11-2017
MELON JAPONES PY,Gs/Caja,35000,C,N,01-11-2017
NARANJA PY,Gs/100 Unid.,40000,C,N,01-11-2017
NARANJA AR,Gs/100 Unid.,60000,C,N,01-11-2017
POMELO PY,Gs/100 Unid.,0,-,-,01-11-2017
PIÑA  PY,Gs/Caja 12 yuntas,40000,C,N,01-11-2017
SANDIA PY,Gs/Unidad,20000,C,N,01-11-2017
REPOLLO BLANCO  PY,Gs/Caja 15 Kg,35000,C,N,01-11-2017
TOMATE LISO  PY,Gs/Caja 18 kg,100000,C,N,01-11-2017
TOMATE SANTA  BR,Gs/Caja 18 kg,0,-,-,01-11-2017
TOMATE SANTA  AR,Gs/Caja 20 kg,0,-,-,01-11-2017
TOMATE SANTA  PY,Gs/Caja 18 kg,110000,C,N,01-11-2017
PIMIENTO VERDE PY(Locote,Gs/Kilo,6000,C,N,01-11-2017
ZAPALLITO DE TRONCO,Gs/Caja 15 kg,30000,C,N,01-11-2017
ZAPALLO  PY,Gs/Bolsa 40 kg,70000,C,N,01-11-2017
BATATA  COLORADA PY,Gs/Bolsa 40 kg,45000,C,N,01-11-2017
CEBOLLA  AR,Gs/Bolsa 20 kg,55000,C,N,01-11-2017
CEBOLLA  PY,Gs/Bolsa 20 kg,45000,C,N,01-11-2017
MANDIOCA   PY,Gs/Bolsa 50 kg,75000,C,N,01-11-2017
REMOLACHA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
REMOLACHA  PY,Gs/Bolsa 20 kg,65000,C,N,01-11-2017
ZANAHORIA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  AR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  PY,Gs/Bolsa 20 kg,50000,C,N,01-11-2017
BANANA CARAPE  PY,Gs/Caja 22 kg,70000,C,N,01-11-2017
FRUTILLA  PY,Gs/Kilo,0,-,-,01-11-2017
LIMON JAPONES PY,Gs/100 Unid.,25000,C,N,01-11-2017
LIMON TAHITI PY,Gs/100 Unid.,0,-,-,01-11-2017
MELON COMUN PY,Gs/Caja,25000,C,N,01-11-2017
MELON JAPONES PY,Gs/Caja,35000,C,N,01-11-2017
NARANJA PY,Gs/100 Unid.,40000,C,N,01-11-2017
NARANJA AR,Gs/100 Unid.,60000,C,N,01-11-2017
POMELO PY,Gs/100 Unid.,0,-,-,01-11-2017
PIÑA  PY,Gs/Caja 12 yuntas,40000,C,N,01-11-2017
SANDIA PY,Gs/Unidad,20000,C,N,01-11-2017
REPOLLO BLANCO  PY,Gs/Caja 15 Kg,35000,C,N,01-11-2017
TOMATE LISO  PY,Gs/Caja 18 kg,100000,C,N,01-11-2017
TOMATE SANTA  BR,Gs/Caja 18 kg,0,-,-,01-11-2017
TOMATE SANTA  AR,Gs/Caja 20 kg,0,-,-,01-11-2017
TOMATE SANTA  PY,Gs/Caja 18 kg,110000,C,N,01-11-2017
PIMIENTO VERDE PY(Locote,Gs/Kilo,6000,C,N,01-11-2017
ZAPALLITO DE TRONCO,Gs/Caja 15 kg,30000,C,N,01-11-2017
ZAPALLO  PY,Gs/Bolsa 40 kg,70000,C,N,01-11-2017
BATATA  COLORADA PY,Gs/Bolsa 40 kg,45000,C,N,01-11-2017
CEBOLLA  AR,Gs/Bolsa 20 kg,55000,C,N,01-11-2017
CEBOLLA  PY,Gs/Bolsa 20 kg,45000,C,N,01-11-2017
MANDIOCA   PY,Gs/Bolsa 50 kg,75000,C,N,01-11-2017
REMOLACHA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
REMOLACHA  PY,Gs/Bolsa 20 kg,65000,C,N,01-11-2017
ZANAHORIA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  AR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  PY,Gs/Bolsa 20 kg,50000,C,N,01-11-2017
BANANA CARAPE  PY,Gs/Caja 22 kg,70000,C,N,01-11-2017
FRUTILLA  PY,Gs/Kilo,0,-,-,01-11-2017
LIMON JAPONES PY,Gs/100 Unid.,25000,C,N,01-11-2017
LIMON TAHITI PY,Gs/100 Unid.,0,-,-,01-11-2017
MELON COMUN PY,Gs/Caja,25000,C,N,01-11-2017
MELON JAPONES PY,Gs/Caja,35000,C,N,01-11-2017
NARANJA PY,Gs/100 Unid.,40000,C,N,01-11-2017
NARANJA AR,Gs/100 Unid.,60000,C,N,01-11-2017
POMELO PY,Gs/100 Unid.,0,-,-,01-11-2017
PIÑA  PY,Gs/Caja 12 yuntas,40000,C,N,01-11-2017
SANDIA PY,Gs/Unidad,20000,C,N,01-11-2017
REPOLLO BLANCO  PY,Gs/Caja 15 Kg,35000,C,N,01-11-2017
TOMATE LISO  PY,Gs/Caja 18 kg,100000,C,N,01-11-2017
TOMATE SANTA  BR,Gs/Caja 18 kg,0,-,-,01-11-2017
TOMATE SANTA  AR,Gs/Caja 20 kg,0,-,-,01-11-2017
TOMATE SANTA  PY,Gs/Caja 18 kg,110000,C,N,01-11-2017
PIMIENTO VERDE PY(Locote,Gs/Kilo,6000,C,N,01-11-2017
ZAPALLITO DE TRONCO,Gs/Caja 15 kg,30000,C,N,01-11-2017
ZAPALLO  PY,Gs/Bolsa 40 kg,70000,C,N,01-11-2017
BATATA  COLORADA PY,Gs/Bolsa 40 kg,45000,C,N,01-11-2017
CEBOLLA  AR,Gs/Bolsa 20 kg,55000,C,N,01-11-2017
CEBOLLA  PY,Gs/Bolsa 20 kg,45000,C,N,01-11-2017
MANDIOCA   PY,Gs/Bolsa 50 kg,75000,C,N,01-11-2017
REMOLACHA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
REMOLACHA  PY,Gs/Bolsa 20 kg,65000,C,N,01-11-2017
ZANAHORIA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  AR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  PY,Gs/Bolsa 20 kg,50000,C,N,01-11-2017
BANANA CARAPE  PY,Gs/Caja 22 kg,70000,C,N,01-11-2017
FRUTILLA  PY,Gs/Kilo,0,-,-,01-11-2017
LIMON JAPONES PY,Gs/100 Unid.,25000,C,N,01-11-2017
LIMON TAHITI PY,Gs/100 Unid.,0,-,-,01-11-2017
MELON COMUN PY,Gs/Caja,25000,C,N,01-11-2017
MELON JAPONES PY,Gs/Caja,35000,C,N,01-11-2017
NARANJA PY,Gs/100 Unid.,40000,C,N,01-11-2017
NARANJA AR,Gs/100 Unid.,60000,C,N,01-11-2017
POMELO PY,Gs/100 Unid.,0,-,-,01-11-2017
PIÑA  PY,Gs/Caja 12 yuntas,40000,C,N,01-11-2017
SANDIA PY,Gs/Unidad,20000,C,N,01-11-2017
REPOLLO BLANCO  PY,Gs/Caja 15 Kg,35000,C,N,01-11-2017
TOMATE LISO  PY,Gs/Caja 18 kg,100000,C,N,01-11-2017
TOMATE SANTA  BR,Gs/Caja 18 kg,0,-,-,01-11-2017
TOMATE SANTA  AR,Gs/Caja 20 kg,0,-,-,01-11-2017
TOMATE SANTA  PY,Gs/Caja 18 kg,110000,C,N,01-11-2017
PIMIENTO VERDE PY(Locote,Gs/Kilo,6000,C,N,01-11-2017
ZAPALLITO DE TRONCO,Gs/Caja 15 kg,30000,C,N,01-11-2017
ZAPALLO  PY,Gs/Bolsa 40 kg,70000,C,N,01-11-2017
BATATA  COLORADA PY,Gs/Bolsa 40 kg,45000,C,N,01-11-2017
CEBOLLA  AR,Gs/Bolsa 20 kg,55000,C,N,01-11-2017
CEBOLLA  PY,Gs/Bolsa 20 kg,45000,C,N,01-11-2017
MANDIOCA   PY,Gs/Bolsa 50 kg,75000,C,N,01-11-2017
REMOLACHA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
REMOLACHA  PY,Gs/Bolsa 20 kg,65000,C,N,01-11-2017
ZANAHORIA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  AR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  PY,Gs/Bolsa 20 kg,50000,C,N,01-11-2017
BANANA CARAPE  PY,Gs/Caja 22 kg,70000,C,N,01-11-2017
FRUTILLA  PY,Gs/Kilo,0,-,-,01-11-2017
LIMON JAPONES PY,Gs/100 Unid.,25000,C,N,01-11-2017
LIMON TAHITI PY,Gs/100 Unid.,0,-,-,01-11-2017
MELON COMUN PY,Gs/Caja,25000,C,N,01-11-2017
MELON JAPONES PY,Gs/Caja,35000,C,N,01-11-2017
NARANJA PY,Gs/100 Unid.,40000,C,N,01-11-2017
NARANJA AR,Gs/100 Unid.,60000,C,N,01-11-2017
POMELO PY,Gs/100 Unid.,0,-,-,01-11-2017
PIÑA  PY,Gs/Caja 12 yuntas,40000,C,N,01-11-2017
SANDIA PY,Gs/Unidad,20000,C,N,01-11-2017
REPOLLO BLANCO  PY,Gs/Caja 15 Kg,35000,C,N,01-11-2017
TOMATE LISO  PY,Gs/Caja 18 kg,100000,C,N,01-11-2017
TOMATE SANTA  BR,Gs/Caja 18 kg,0,-,-,01-11-2017
TOMATE SANTA  AR,Gs/Caja 20 kg,0,-,-,01-11-2017
TOMATE SANTA  PY,Gs/Caja 18 kg,110000,C,N,01-11-2017
PIMIENTO VERDE PY(Locote,Gs/Kilo,6000,C,N,01-11-2017
ZAPALLITO DE TRONCO,Gs/Caja 15 kg,30000,C,N,01-11-2017
ZAPALLO  PY,Gs/Bolsa 40 kg,70000,C,N,01-11-2017
BATATA  COLORADA PY,Gs/Bolsa 40 kg,45000,C,N,01-11-2017
CEBOLLA  AR,Gs/Bolsa 20 kg,55000,C,N,01-11-2017
CEBOLLA  PY,Gs/Bolsa 20 kg,45000,C,N,01-11-2017
MANDIOCA   PY,Gs/Bolsa 50 kg,75000,C,N,01-11-2017
REMOLACHA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
REMOLACHA  PY,Gs/Bolsa 20 kg,65000,C,N,01-11-2017
ZANAHORIA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  AR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  PY,Gs/Bolsa 20 kg,50000,C,N,01-11-2017
BANANA CARAPE  PY,Gs/Caja 22 kg,70000,C,N,01-11-2017
FRUTILLA  PY,Gs/Kilo,0,-,-,01-11-2017
LIMON JAPONES PY,Gs/100 Unid.,25000,C,N,01-11-2017
LIMON TAHITI PY,Gs/100 Unid.,0,-,-,01-11-2017
MELON COMUN PY,Gs/Caja,25000,C,N,01-11-2017
MELON JAPONES PY,Gs/Caja,35000,C,N,01-11-2017
NARANJA PY,Gs/100 Unid.,40000,C,N,01-11-2017
NARANJA AR,Gs/100 Unid.,60000,C,N,01-11-2017
POMELO PY,Gs/100 Unid.,0,-,-,01-11-2017
PIÑA  PY,Gs/Caja 12 yuntas,40000,C,N,01-11-2017
SANDIA PY,Gs/Unidad,20000,C,N,01-11-2017
REPOLLO BLANCO  PY,Gs/Caja 15 Kg,35000,C,N,01-11-2017
TOMATE LISO  PY,Gs/Caja 18 kg,100000,C,N,01-11-2017
TOMATE SANTA  BR,Gs/Caja 18 kg,0,-,-,01-11-2017
TOMATE SANTA  AR,Gs/Caja 20 kg,0,-,-,01-11-2017
TOMATE SANTA  PY,Gs/Caja 18 kg,110000,C,N,01-11-2017
PIMIENTO VERDE PY(Locote,Gs/Kilo,6000,C,N,01-11-2017
ZAPALLITO DE TRONCO,Gs/Caja 15 kg,30000,C,N,01-11-2017
ZAPALLO  PY,Gs/Bolsa 40 kg,70000,C,N,01-11-2017
BATATA  COLORADA PY,Gs/Bolsa 40 kg,45000,C,N,01-11-2017
CEBOLLA  AR,Gs/Bolsa 20 kg,55000,C,N,01-11-2017
CEBOLLA  PY,Gs/Bolsa 20 kg,45000,C,N,01-11-2017
MANDIOCA   PY,Gs/Bolsa 50 kg,75000,C,N,01-11-2017
REMOLACHA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
REMOLACHA  PY,Gs/Bolsa 20 kg,65000,C,N,01-11-2017
ZANAHORIA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  AR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  PY,Gs/Bolsa 20 kg,50000,C,N,01-11-2017
BANANA CARAPE  PY,Gs/Caja 22 kg,70000,C,N,01-11-2017
FRUTILLA  PY,Gs/Kilo,0,-,-,01-11-2017
LIMON JAPONES PY,Gs/100 Unid.,25000,C,N,01-11-2017
LIMON TAHITI PY,Gs/100 Unid.,0,-,-,01-11-2017
MELON COMUN PY,Gs/Caja,25000,C,N,01-11-2017
MELON JAPONES PY,Gs/Caja,35000,C,N,01-11-2017
NARANJA PY,Gs/100 Unid.,40000,C,N,01-11-2017
NARANJA AR,Gs/100 Unid.,60000,C,N,01-11-2017
POMELO PY,Gs/100 Unid.,0,-,-,01-11-2017
PIÑA  PY,Gs/Caja 12 yuntas,40000,C,N,01-11-2017
SANDIA PY,Gs/Unidad,20000,C,N,01-11-2017
REPOLLO BLANCO  PY,Gs/Caja 15 Kg,35000,C,N,01-11-2017
TOMATE LISO  PY,Gs/Caja 18 kg,100000,C,N,01-11-2017
TOMATE SANTA  BR,Gs/Caja 18 kg,0,-,-,01-11-2017
TOMATE SANTA  AR,Gs/Caja 20 kg,0,-,-,01-11-2017
TOMATE SANTA  PY,Gs/Caja 18 kg,110000,C,N,01-11-2017
PIMIENTO VERDE PY(Locote,Gs/Kilo,6000,C,N,01-11-2017
ZAPALLITO DE TRONCO,Gs/Caja 15 kg,30000,C,N,01-11-2017
ZAPALLO  PY,Gs/Bolsa 40 kg,70000,C,N,01-11-2017
BATATA  COLORADA PY,Gs/Bolsa 40 kg,45000,C,N,01-11-2017
CEBOLLA  AR,Gs/Bolsa 20 kg,55000,C,N,01-11-2017
CEBOLLA  PY,Gs/Bolsa 20 kg,45000,C,N,01-11-2017
MANDIOCA   PY,Gs/Bolsa 50 kg,75000,C,N,01-11-2017
REMOLACHA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
REMOLACHA  PY,Gs/Bolsa 20 kg,65000,C,N,01-11-2017
ZANAHORIA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  AR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  PY,Gs/Bolsa 20 kg,50000,C,N,01-11-2017
BANANA CARAPE  PY,Gs/Caja 22 kg,70000,C,N,01-11-2017
FRUTILLA  PY,Gs/Kilo,0,-,-,01-11-2017
LIMON JAPONES PY,Gs/100 Unid.,25000,C,N,01-11-2017
LIMON TAHITI PY,Gs/100 Unid.,0,-,-,01-11-2017
MELON COMUN PY,Gs/Caja,25000,C,N,01-11-2017
MELON JAPONES PY,Gs/Caja,35000,C,N,01-11-2017
NARANJA PY,Gs/100 Unid.,40000,C,N,01-11-2017
NARANJA AR,Gs/100 Unid.,60000,C,N,01-11-2017
POMELO PY,Gs/100 Unid.,0,-,-,01-11-2017
PIÑA  PY,Gs/Caja 12 yuntas,40000,C,N,01-11-2017
SANDIA PY,Gs/Unidad,20000,C,N,01-11-2017
REPOLLO BLANCO  PY,Gs/Caja 15 Kg,35000,C,N,01-11-2017
TOMATE LISO  PY,Gs/Caja 18 kg,100000,C,N,01-11-2017
TOMATE SANTA  BR,Gs/Caja 18 kg,0,-,-,01-11-2017
TOMATE SANTA  AR,Gs/Caja 20 kg,0,-,-,01-11-2017
TOMATE SANTA  PY,Gs/Caja 18 kg,110000,C,N,01-11-2017
PIMIENTO VERDE PY(Locote,Gs/Kilo,6000,C,N,01-11-2017
ZAPALLITO DE TRONCO,Gs/Caja 15 kg,30000,C,N,01-11-2017
ZAPALLO  PY,Gs/Bolsa 40 kg,70000,C,N,01-11-2017
BATATA  COLORADA PY,Gs/Bolsa 40 kg,45000,C,N,01-11-2017
CEBOLLA  AR,Gs/Bolsa 20 kg,55000,C,N,01-11-2017
CEBOLLA  PY,Gs/Bolsa 20 kg,45000,C,N,01-11-2017
MANDIOCA   PY,Gs/Bolsa 50 kg,75000,C,N,01-11-2017
REMOLACHA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
REMOLACHA  PY,Gs/Bolsa 20 kg,65000,C,N,01-11-2017
ZANAHORIA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  AR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  PY,Gs/Bolsa 20 kg,50000,C,N,01-11-2017
BANANA CARAPE  PY,Gs/Caja 22 kg,70000,C,N,01-11-2017
FRUTILLA  PY,Gs/Kilo,0,-,-,01-11-2017
LIMON JAPONES PY,Gs/100 Unid.,25000,C,N,01-11-2017
LIMON TAHITI PY,Gs/100 Unid.,0,-,-,01-11-2017
MELON COMUN PY,Gs/Caja,25000,C,N,01-11-2017
MELON JAPONES PY,Gs/Caja,35000,C,N,01-11-2017
NARANJA PY,Gs/100 Unid.,40000,C,N,01-11-2017
NARANJA AR,Gs/100 Unid.,60000,C,N,01-11-2017
POMELO PY,Gs/100 Unid.,0,-,-,01-11-2017
PIÑA  PY,Gs/Caja 12 yuntas,40000,C,N,01-11-2017
SANDIA PY,Gs/Unidad,20000,C,N,01-11-2017
REPOLLO BLANCO  PY,Gs/Caja 15 Kg,35000,C,N,01-11-2017
TOMATE LISO  PY,Gs/Caja 18 kg,100000,C,N,01-11-2017
TOMATE SANTA  BR,Gs/Caja 18 kg,0,-,-,01-11-2017
TOMATE SANTA  AR,Gs/Caja 20 kg,0,-,-,01-11-2017
TOMATE SANTA  PY,Gs/Caja 18 kg,110000,C,N,01-11-2017
PIMIENTO VERDE PY(Locote,Gs/Kilo,6000,C,N,01-11-2017
ZAPALLITO DE TRONCO,Gs/Caja 15 kg,30000,C,N,01-11-2017
ZAPALLO  PY,Gs/Bolsa 40 kg,70000,C,N,01-11-2017
BATATA  COLORADA PY,Gs/Bolsa 40 kg,45000,C,N,01-11-2017
CEBOLLA  AR,Gs/Bolsa 20 kg,55000,C,N,01-11-2017
CEBOLLA  PY,Gs/Bolsa 20 kg,45000,C,N,01-11-2017
MANDIOCA   PY,Gs/Bolsa 50 kg,75000,C,N,01-11-2017
REMOLACHA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
REMOLACHA  PY,Gs/Bolsa 20 kg,65000,C,N,01-11-2017
ZANAHORIA  BR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  AR,Gs/Bolsa 20 kg,0,-,-,01-11-2017
ZANAHORIA  PY,Gs/Bolsa 20 kg,50000,C,N,01-11-2017
BANANA CARAPE  PY,Gs/Caja 22 kg,70000,C,N,01-11-2017
FRUTILLA  PY,Gs/Kilo,0,-,-,01-11-2017
LIMON JAPONES PY,Gs/100 Unid.,25000,C,N,01-11-2017
LIMON TAHITI PY,Gs/100 Unid.,0,-,-,01-11-2017
MELON COMUN PY,Gs/Caja,25000,C,N,01-11-2017
MELON JAPONES PY,Gs/Caja,35000,C,N,01-11-2017
NARANJA PY,Gs/100 Unid.,40000,C,N,01-11-2017
NARANJA AR,Gs/100 Unid.,60000,C,N,01-11-2017
POMELO PY,Gs/100 Unid.,0,-,-,01-11-2017
PIÑA  PY,Gs/Caja 12 yuntas,40000,C,N,01-11-2017
SANDIA PY,Gs/Unidad,20000,C,N,01-11-2017
REPOLLO BLANCO  PY,Gs/Caja 15 Kg,35000,C,N,01-11-2017
TOMATE LISO  PY,Gs/Caja 18 kg,100000,C,N,01-11-2017
TOMATE SANTA  BR,Gs/Caja 18 kg,0,-,-,01-11-2017
